+---------------+------+--------+-------+-------------+
|   series id   | year | period | value |  footnotes  |
+---------------+------+--------+-------+-------------+
| CEU7000000001 | 2021 |  M01   | 12497 | preliminary |
| CEU7000000001 | 2020 |  M12   | 12858 | preliminary |
| CEU7000000001 | 2020 |  M11   | 13418 |             |
| CEU7000000001 | 2020 |  M10   | 13607 |             |
| CEU7000000001 | 2020 |  M09   | 13446 |             |
| CEU7000000001 | 2020 |  M08   | 13445 |             |
| CEU7000000001 | 2020 |  M07   | 13364 |             |
| CEU7000000001 | 2020 |  M06   | 12637 |             |
| CEU7000000001 | 2020 |  M05   | 10303 |             |
| CEU7000000001 | 2020 |  M04   |  8648 |             |
| CEU7000000001 | 2020 |  M03   | 15745 |             |
| CEU7000000001 | 2020 |  M02   | 16292 |             |
| CEU7000000001 | 2020 |  M01   | 16117 |             |
| CEU7000000001 | 2019 |  M12   | 16474 |             |
| CEU7000000001 | 2019 |  M11   | 16459 |             |
| CEU7000000001 | 2019 |  M10   | 16666 |             |
| CEU7000000001 | 2019 |  M09   | 16775 |             |
| CEU7000000001 | 2019 |  M08   | 17257 |             |
| CEU7000000001 | 2019 |  M07   | 17299 |             |
| CEU7000000001 | 2019 |  M06   | 17227 |             |
| CEU7000000001 | 2019 |  M05   | 16793 |             |
| CEU7000000001 | 2019 |  M04   | 16409 |             |
| CEU7000000001 | 2019 |  M03   | 16090 |             |
| CEU7000000001 | 2019 |  M02   | 15841 |             |
| CEU7000000001 | 2019 |  M01   | 15739 |             |
| CEU7000000001 | 2018 |  M12   | 16086 |             |
| CEU7000000001 | 2018 |  M11   | 16068 |             |
| CEU7000000001 | 2018 |  M10   | 16303 |             |
| CEU7000000001 | 2018 |  M09   | 16462 |             |
| CEU7000000001 | 2018 |  M08   | 17025 |             |
| CEU7000000001 | 2018 |  M07   | 17107 |             |
| CEU7000000001 | 2018 |  M06   | 17009 |             |
| CEU7000000001 | 2018 |  M05   | 16524 |             |
| CEU7000000001 | 2018 |  M04   | 16118 |             |
| CEU7000000001 | 2018 |  M03   | 15818 |             |
| CEU7000000001 | 2018 |  M02   | 15588 |             |
| CEU7000000001 | 2018 |  M01   | 15437 |             |
+---------------+------+--------+-------+-------------+
