+---------------+------+--------+--------+-------------+
|   series id   | year | period | value  |  footnotes  |
+---------------+------+--------+--------+-------------+
| CEU7071000001 | 2021 |  M01   | 1528.8 | preliminary |
| CEU7071000001 | 2020 |  M12   | 1603.4 | preliminary |
| CEU7071000001 | 2020 |  M11   | 1698.8 |             |
| CEU7071000001 | 2020 |  M10   | 1754.6 |             |
| CEU7071000001 | 2020 |  M09   | 1760.1 |             |
| CEU7071000001 | 2020 |  M08   | 1837.9 |             |
| CEU7071000001 | 2020 |  M07   | 1865.6 |             |
| CEU7071000001 | 2020 |  M06   | 1700.3 |             |
| CEU7071000001 | 2020 |  M05   | 1261.9 |             |
| CEU7071000001 | 2020 |  M04   | 1143.0 |             |
| CEU7071000001 | 2020 |  M03   | 2244.7 |             |
| CEU7071000001 | 2020 |  M02   | 2270.4 |             |
| CEU7071000001 | 2020 |  M01   | 2245.9 |             |
| CEU7071000001 | 2019 |  M12   | 2319.9 |             |
| CEU7071000001 | 2019 |  M11   | 2305.2 |             |
| CEU7071000001 | 2019 |  M10   | 2416.9 |             |
| CEU7071000001 | 2019 |  M09   | 2489.5 |             |
| CEU7071000001 | 2019 |  M08   | 2716.2 |             |
| CEU7071000001 | 2019 |  M07   | 2785.8 |             |
| CEU7071000001 | 2019 |  M06   | 2717.5 |             |
| CEU7071000001 | 2019 |  M05   | 2501.0 |             |
| CEU7071000001 | 2019 |  M04   | 2370.9 |             |
| CEU7071000001 | 2019 |  M03   | 2263.8 |             |
| CEU7071000001 | 2019 |  M02   | 2192.7 |             |
| CEU7071000001 | 2019 |  M01   | 2163.1 |             |
| CEU7071000001 | 2018 |  M12   | 2237.2 |             |
| CEU7071000001 | 2018 |  M11   | 2237.1 |             |
| CEU7071000001 | 2018 |  M10   | 2371.7 |             |
| CEU7071000001 | 2018 |  M09   | 2433.7 |             |
| CEU7071000001 | 2018 |  M08   | 2682.7 |             |
| CEU7071000001 | 2018 |  M07   | 2750.3 |             |
| CEU7071000001 | 2018 |  M06   | 2691.8 |             |
| CEU7071000001 | 2018 |  M05   | 2454.2 |             |
| CEU7071000001 | 2018 |  M04   | 2307.5 |             |
| CEU7071000001 | 2018 |  M03   | 2195.9 |             |
| CEU7071000001 | 2018 |  M02   | 2131.4 |             |
| CEU7071000001 | 2018 |  M01   | 2096.2 |             |
+---------------+------+--------+--------+-------------+
