+---------------+------+--------+---------+-------------+
|   series id   | year | period |  value  |  footnotes  |
+---------------+------+--------+---------+-------------+
| CEU7072000001 | 2021 |  M01   | 10967.8 | preliminary |
| CEU7072000001 | 2020 |  M12   | 11254.1 | preliminary |
| CEU7072000001 | 2020 |  M11   | 11719.2 |             |
| CEU7072000001 | 2020 |  M10   | 11852.3 |             |
| CEU7072000001 | 2020 |  M09   | 11686.1 |             |
| CEU7072000001 | 2020 |  M08   | 11606.8 |             |
| CEU7072000001 | 2020 |  M07   | 11498.2 |             |
| CEU7072000001 | 2020 |  M06   | 10936.4 |             |
| CEU7072000001 | 2020 |  M05   |  9041.4 |             |
| CEU7072000001 | 2020 |  M04   |  7505.2 |             |
| CEU7072000001 | 2020 |  M03   | 13500.4 |             |
| CEU7072000001 | 2020 |  M02   | 14021.8 |             |
| CEU7072000001 | 2020 |  M01   | 13871.5 |             |
| CEU7072000001 | 2019 |  M12   | 14153.6 |             |
| CEU7072000001 | 2019 |  M11   | 14154.1 |             |
| CEU7072000001 | 2019 |  M10   | 14248.7 |             |
| CEU7072000001 | 2019 |  M09   | 14285.7 |             |
| CEU7072000001 | 2019 |  M08   | 14541.1 |             |
| CEU7072000001 | 2019 |  M07   | 14513.6 |             |
| CEU7072000001 | 2019 |  M06   | 14509.8 |             |
| CEU7072000001 | 2019 |  M05   | 14292.0 |             |
| CEU7072000001 | 2019 |  M04   | 14037.6 |             |
| CEU7072000001 | 2019 |  M03   | 13825.7 |             |
| CEU7072000001 | 2019 |  M02   | 13648.6 |             |
| CEU7072000001 | 2019 |  M01   | 13575.6 |             |
| CEU7072000001 | 2018 |  M12   | 13848.5 |             |
| CEU7072000001 | 2018 |  M11   | 13831.2 |             |
| CEU7072000001 | 2018 |  M10   | 13931.6 |             |
| CEU7072000001 | 2018 |  M09   | 14028.2 |             |
| CEU7072000001 | 2018 |  M08   | 14342.1 |             |
| CEU7072000001 | 2018 |  M07   | 14356.5 |             |
| CEU7072000001 | 2018 |  M06   | 14316.7 |             |
| CEU7072000001 | 2018 |  M05   | 14069.8 |             |
| CEU7072000001 | 2018 |  M04   | 13810.6 |             |
| CEU7072000001 | 2018 |  M03   | 13622.5 |             |
| CEU7072000001 | 2018 |  M02   | 13456.5 |             |
| CEU7072000001 | 2018 |  M01   | 13340.7 |             |
+---------------+------+--------+---------+-------------+
