,year,period,headcount,footnotes_HC,AVG_12,totalSep,footnotes_Sep,SUM_12,Turnover
0, 2021 ,  M01   ,10967.8, preliminary ,11299.1,,,,
1, 2020 ,  M12   ,11254.1, preliminary ,11541.1,954.0, preliminary ,14017.0,1.2145289443813847
2, 2020 ,  M11   ,11719.2,             ,11782.7,837.0,             ,13894.0,1.1791864343486635
3, 2020 ,  M10   ,11852.3,             ,11985.6,745.0,             ,13833.0,1.1541349619543453
4, 2020 ,  M09   ,11686.1,             ,12185.4,794.0,             ,14062.0,1.1540039719664517
5, 2020 ,  M08   ,11606.8,             ,12402.0,817.0,             ,14385.0,1.1598935655539429
6, 2020 ,  M07   ,11498.2,             ,12646.5,791.0,             ,14677.0,1.1605582572253192
7, 2020 ,  M06   ,10936.4,             ,12897.8,742.0,             ,14949.0,1.1590348741645862
8, 2020 ,  M05   ,9041.4,             ,13195.6,485.0,             ,15222.0,1.1535663402952498
9, 2020 ,  M04   ,7505.2,             ,13633.1,1660.0,             ,15622.0,1.145887582428061
10, 2020 ,  M03   ,13500.4,             ,14177.5,4608.0,             ,14917.0,1.0521601128548757
11, 2020 ,  M02   ,14021.8,             ,14204.6,692.0,             ,11078.0,0.7798882052292919
12, 2020 ,  M01   ,13871.5,             ,14173.5,892.0,             ,11121.0,0.7846332945285215
13, 2019 ,  M12   ,14153.6,             ,14148.8,831.0,             ,11120.0,0.7859323758905349
14, 2019 ,  M11   ,14154.1,             ,14123.4,776.0,             ,11042.0,0.7818230737641079
15, 2019 ,  M10   ,14248.7,             ,14096.5,974.0,             ,11061.0,0.7846628595750719
16, 2019 ,  M09   ,14285.7,             ,14070.1,1117.0,             ,11096.0,0.7886226821415626
17, 2019 ,  M08   ,14541.1,             ,14048.6,1109.0,             ,11044.0,0.7861281551186595
18, 2019 ,  M07   ,14513.6,             ,14032.0,1063.0,             ,10999.0,0.7838511972633979
19, 2019 ,  M06   ,14509.8,             ,14019.0,1015.0,             ,10898.0,0.7773735644482488
20, 2019 ,  M05   ,14292.0,             ,14002.9,885.0,             ,10730.0,0.7662698441037213
21, 2019 ,  M04   ,14037.6,             ,13984.3,955.0,             ,10720.0,0.7665739436367928
22, 2019 ,  M03   ,13825.7,             ,13965.4,769.0,             ,10620.0,0.7604508284760909
23, 2019 ,  M02   ,13648.6,             ,13948.5,735.0,             ,10563.0,0.7572857296483493
24, 2019 ,  M01   ,13575.6,             ,13932.5,891.0,             ,10501.0,0.7537053651534182
25, 2018 ,  M12   ,13848.5,             ,13912.9,753.0,             ,10438.0,0.7502389868395518
26, 2018 ,  M11   ,13831.2,             ,13897.5,795.0,             ,10417.0,0.7495592732505847
27, 2018 ,  M10   ,13931.6,             ,13885.2,1009.0,             ,10355.0,0.7457580733442802
28, 2018 ,  M09   ,14028.2,             ,13872.7,1065.0,             ,10253.0,0.7390774686975138
29, 2018 ,  M08   ,14342.1,             ,13856.6,1064.0,             ,10193.0,0.7356061371476408
30, 2018 ,  M07   ,14356.5,             ,13841.4,962.0,             ,10153.0,0.7335240654847053
31, 2018 ,  M06   ,14316.7,             ,13826.3,847.0,             ,10026.0,0.7251397698588922
32, 2018 ,  M05   ,14069.8,             ,13808.8,875.0,             ,10037.0,0.7268553386246452
33, 2018 ,  M04   ,13810.6,             ,13792.7,855.0,             ,9975.0,0.7232086538531252
34, 2018 ,  M03   ,13622.5,             ,13776.8,712.0,             ,9918.0,0.7199059288078509
35, 2018 ,  M02   ,13456.5,             ,13758.6,673.0,             ,9928.0,0.7215850449900426
36, 2018 ,  M01   ,13340.7,             ,13738.4,828.0,             ,9907.0,0.721117451813894
37, 2017 ,  M12   ,13663.8,             ,13717.9,732.0,             ,9941.0,0.7246736016445666
38, 2017 ,  M11   ,13683.6,             ,13695.0,733.0,             ,9940.0,0.7258123402701716
39, 2017 ,  M10   ,13781.7,             ,13672.5,907.0,             ,9979.0,0.7298592064362772
40, 2017 ,  M09   ,13834.1,             ,13648.5,1005.0,             ,9984.0,0.7315089570282448
41, 2017 ,  M08   ,14159.9,             ,13629.5,1024.0,             ,9878.0,0.7247514582339778
42, 2017 ,  M07   ,14175.2,             ,13601.6,835.0,             ,9872.0,0.7257969650629338
43, 2017 ,  M06   ,14107.8,             ,13570.2,858.0,             ,9957.0,0.7337401069991599
44, 2017 ,  M05   ,13876.2,             ,13542.1,813.0,             ,9957.0,0.7352626254421397
45, 2017 ,  M04   ,13620.2,             ,13513.5,798.0,             ,9982.0,0.7386687386687387
46, 2017 ,  M03   ,13403.5,             ,13486.8,722.0,             ,10018.0,0.7428003677670019
47, 2017 ,  M02   ,13213.9,             ,13459.4,652.0,             ,10012.0,0.7438667399735501
48, 2017 ,  M01   ,13094.7,             ,13433.3,862.0,             ,10048.0,0.7479919305010683
49, 2016 ,  M12   ,13389.5,             ,13408.4,731.0,             ,9936.0,0.7410280122908028
50, 2016 ,  M11   ,13412.7,             ,13379.8,772.0,             ,9945.0,0.7432846529843495
51, 2016 ,  M10   ,13494.1,             ,13350.0,912.0,             ,9878.0,0.7399250936329588
52, 2016 ,  M09   ,13606.0,             ,13320.7,899.0,             ,9871.0,0.7410271231992313
53, 2016 ,  M08   ,13824.9,             ,13286.8,1018.0,             ,9900.0,0.7451004003973869
54, 2016 ,  M07   ,13798.8,             ,13251.5,920.0,             ,9919.0,0.7485190355808776
55, 2016 ,  M06   ,13770.2,             ,13216.5,858.0,             ,9852.0,0.745431846555442
56, 2016 ,  M05   ,13533.2,             ,13179.4,838.0,             ,9780.0,0.7420671654248296
57, 2016 ,  M04   ,13299.7,             ,13143.5,834.0,             ,9691.0,0.7373226309582683
58, 2016 ,  M03   ,13075.4,             ,13106.6,716.0,             ,9615.0,0.7335998657165093
59, 2016 ,  M02   ,12900.5,             ,13068.4,688.0,             ,9546.0,0.7304643261608155
60, 2016 ,  M01   ,12795.5,             ,13031.5,750.0,             ,9402.0,0.721482561485631
61, 2015 ,  M12   ,13046.1,             ,12993.8,740.0,             ,9374.0,0.7214209853930337
