+-----------------------+------+--------+-------+-------------+
|       series id       | year | period | value |  footnotes  |
+-----------------------+------+--------+-------+-------------+
| JTU700000000000000TSL | 2020 |  M12   |  1125 | preliminary |
| JTU700000000000000TSL | 2020 |  M11   |  942  |             |
| JTU700000000000000TSL | 2020 |  M10   |  904  |             |
| JTU700000000000000TSL | 2020 |  M09   |  958  |             |
| JTU700000000000000TSL | 2020 |  M08   |  950  |             |
| JTU700000000000000TSL | 2020 |  M07   |  894  |             |
| JTU700000000000000TSL | 2020 |  M06   |  846  |             |
| JTU700000000000000TSL | 2020 |  M05   |  537  |             |
| JTU700000000000000TSL | 2020 |  M04   |  1954 |             |
| JTU700000000000000TSL | 2020 |  M03   |  5155 |             |
| JTU700000000000000TSL | 2020 |  M02   |  769  |             |
| JTU700000000000000TSL | 2020 |  M01   |  1025 |             |
| JTU700000000000000TSL | 2019 |  M12   |  1005 |             |
| JTU700000000000000TSL | 2019 |  M11   |  969  |             |
| JTU700000000000000TSL | 2019 |  M10   |  1201 |             |
| JTU700000000000000TSL | 2019 |  M09   |  1367 |             |
| JTU700000000000000TSL | 2019 |  M08   |  1375 |             |
| JTU700000000000000TSL | 2019 |  M07   |  1205 |             |
| JTU700000000000000TSL | 2019 |  M06   |  1136 |             |
| JTU700000000000000TSL | 2019 |  M05   |  1015 |             |
| JTU700000000000000TSL | 2019 |  M04   |  1095 |             |
| JTU700000000000000TSL | 2019 |  M03   |  869  |             |
| JTU700000000000000TSL | 2019 |  M02   |  817  |             |
| JTU700000000000000TSL | 2019 |  M01   |  1010 |             |
| JTU700000000000000TSL | 2018 |  M12   |  898  |             |
| JTU700000000000000TSL | 2018 |  M11   |  992  |             |
| JTU700000000000000TSL | 2018 |  M10   |  1233 |             |
| JTU700000000000000TSL | 2018 |  M09   |  1349 |             |
| JTU700000000000000TSL | 2018 |  M08   |  1352 |             |
| JTU700000000000000TSL | 2018 |  M07   |  1134 |             |
| JTU700000000000000TSL | 2018 |  M06   |  1002 |             |
| JTU700000000000000TSL | 2018 |  M05   |  1009 |             |
| JTU700000000000000TSL | 2018 |  M04   |  1015 |             |
| JTU700000000000000TSL | 2018 |  M03   |  843  |             |
| JTU700000000000000TSL | 2018 |  M02   |  759  |             |
| JTU700000000000000TSL | 2018 |  M01   |  961  |             |
+-----------------------+------+--------+-------+-------------+
